team,tr_predictive,season
Villanova (30-4),23.2,2018
Duke (26-7),22.0,2018
Virginia (31-2),20.8,2018
Purdue (28-6),20.8,2018
Michigan St (29-4),20.8,2018
Cincinnati (29-4),19.6,2018
Kansas (27-7),19.1,2018
North Carolina (25-10),18.6,2018
West Virginia (24-10),17.7,2018
Gonzaga (30-4),17.5,2018
Xavier (28-5),16.8,2018
Wichita St (25-7),16.8,2018
Michigan (28-7),16.3,2018
Texas Tech (24-9),16.1,2018
Tennessee (25-7),15.8,2018
Kentucky (23-10),15.4,2018
Arizona (27-7),15.3,2018
Florida (20-12),15.2,2018
TCU (21-11),14.9,2018
Auburn (25-7),14.9,2018
Ohio St (24-8),14.5,2018
Houston (26-6),14.5,2018
Creighton (21-11),14.3,2018
Clemson (23-9),14.0,2018
Butler (20-13),13.7,2018
Seton Hall (21-11),13.6,2018
Baylor (18-14),13.3,2018
Louisville (20-13),13.2,2018
Texas A&M (20-12),13.1,2018
Arkansas (23-11),13.1,2018
Notre Dame (20-14),12.8,2018
Miami (22-9),12.4,2018
Texas (19-14),12.4,2018
Penn St (21-13),12.4,2018
Florida St (20-11),12.3,2018
Virginia Tech (21-11),12.2,2018
Saint Mary's (28-5),12.2,2018
Oklahoma (18-13),12.2,2018
Rhode Island (25-6),12.0,2018
Missouri (20-12),11.9,2018
Nevada (27-7),11.9,2018
USC (23-11),11.9,2018
Maryland (19-13),11.6,2018
Kansas St (22-11),11.5,2018
Alabama (19-15),11.2,2018
UCLA (21-11),11.0,2018
Oklahoma St (19-14),10.8,2018
Arizona St (20-11),10.5,2018
Marquette (19-13),10.5,2018
San Diego St (22-10),10.1,2018
Davidson (20-11),10.0,2018
Providence (21-13),10.0,2018
NC State (21-11),9.8,2018
Oregon (22-12),9.6,2018
Syracuse (20-13),9.4,2018
Georgia (18-15),9.3,2018
Wisconsin (15-18),9.2,2018
Indiana (16-15),9.2,2018
Mississippi St (22-11),9.2,2018
Boise St (23-8),9.0,2018
LSU (17-14),9.0,2018
Louisiana (27-6),8.9,2018
Loyola Chi (28-5),8.8,2018
Utah (19-11),8.7,2018
Middle Tenn (24-7),8.7,2018
Nebraska (22-10),8.6,2018
St Bonaventure (25-7),8.6,2018
SMU (17-16),8.6,2018
Northwestern (15-17),8.5,2018
St John's (16-17),8.2,2018
New Mexico St (28-5),8.1,2018
South Carolina (17-16),8.1,2018
Boston College (19-15),7.6,2018
Vanderbilt (12-20),7.4,2018
Iowa (14-19),7.4,2018
Murray St (26-5),7.4,2018
BYU (24-10),7.4,2018
Old Dominion (25-7),7.3,2018
Bucknell (25-9),7.3,2018
Vermont (27-7),7.3,2018
Minnesota (15-17),6.9,2018
W Kentucky (24-10),6.8,2018
South Dakota (26-8),6.8,2018
Buffalo (26-8),6.8,2018
S Dakota St (28-6),6.7,2018
Iowa St (13-18),6.7,2018
Fresno St (21-11),6.6,2018
Wake Forest (11-20),6.6,2018
Temple (17-15),6.6,2018
Belmont (24-9),6.5,2018
Furman (23-10),6.4,2018
Illinois (14-18),6.2,2018
Stanford (18-15),6.2,2018
N Kentucky (22-9),6.2,2018
Mississippi (12-20),6.0,2018
E Tennessee St (25-9),5.6,2018
Georgetown (15-15),5.5,2018
UCF (19-13),5.3,2018
NC Greensboro (27-7),5.3,2018
Oregon St (16-16),5.2,2018
Northeastern (23-10),4.9,2018
Tulsa (19-12),4.9,2018
Utah Valley (22-10),4.7,2018
Montana (26-7),4.6,2018
DePaul (11-20),4.6,2018
UNLV (20-13),4.4,2018
Georgia Tech (13-19),4.4,2018
New Mexico (19-15),4.2,2018
Colorado (17-15),4.2,2018
Washington (20-12),4.1,2018
Charleston (26-7),4.1,2018
Georgia St (23-10),4.0,2018
Penn (23-8),3.9,2018
UT Arlington (21-12),3.7,2018
SF Austin (28-6),3.7,2018
Saint Joseph's (16-16),3.7,2018
VCU (18-15),3.6,2018
Grand Canyon (22-11),3.5,2018
FGCU (23-11),3.5,2018
Iona (20-13),3.3,2018
Rutgers (15-19),3.2,2018
Wyoming (20-13),2.8,2018
N Iowa (16-16),2.7,2018
Toledo (23-11),2.7,2018
UAB (20-13),2.6,2018
Missouri St (18-15),2.6,2018
Harvard (18-12),2.4,2018
Marshall (24-10),2.3,2018
Mercer (18-14),2.1,2018
Towson (18-14),1.9,2018
Georgia So (21-12),1.9,2018
Canisius (21-11),1.8,2018
San Diego (18-13),1.8,2018
Albany (22-10),1.8,2018
Wright St (25-9),1.7,2018
UCSB (23-9),1.7,2018
Dayton (14-17),1.7,2018
Louisiana Tech (17-16),1.6,2018
La Salle (13-19),1.6,2018
N Colorado (22-12),1.6,2018
Bradley (20-13),1.5,2018
Memphis (21-13),1.5,2018
Rider (22-9),1.4,2018
UConn (14-18),1.4,2018
