team,tr_predictive,season
Duke (29-5),24.8,2019
Gonzaga (30-3),24.6,2019
Virginia (29-3),24.0,2019
North Carolina (27-6),22.8,2019
Michigan St (27-6),21.6,2019
Tennessee (29-4),20.2,2019
Michigan (28-5),19.8,2019
Kentucky (27-6),19.6,2019
Texas Tech (26-6),18.6,2019
Purdue (23-9),18.2,2019
Virginia Tech (24-8),17.4,2019
Auburn (25-9),17.2,2019
Nevada (29-4),16.7,2019
Wisconsin (23-10),16.4,2019
Florida St (27-7),16.3,2019
Kansas (25-9),16.2,2019
Houston (31-2),16.2,2019
Iowa St (23-11),16.0,2019
Villanova (25-9),15.0,2019
Louisville (20-13),15.0,2019
Mississippi St (23-10),14.8,2019
Kansas St (25-8),14.5,2019
LSU (26-6),14.4,2019
Marquette (24-9),14.4,2019
Buffalo (31-3),14.3,2019
Maryland (22-10),14.0,2019
NC State (22-11),13.7,2019
Florida (19-15),13.6,2019
Clemson (19-13),13.3,2019
Texas (16-16),12.9,2019
Syracuse (20-13),12.9,2019
Oklahoma (19-13),12.6,2019
Cincinnati (27-6),12.5,2019
Wofford (29-4),12.4,2019
Indiana (17-15),12.1,2019
Oregon (23-12),12.0,2019
Nebraska (18-16),11.9,2019
Iowa (22-11),11.8,2019
Saint Mary's (22-11),11.7,2019
Ohio St (19-14),11.6,2019
Creighton (18-14),11.4,2019
Utah St (28-6),11.2,2019
Baylor (19-13),11.1,2019
VCU (25-7),11.0,2019
TCU (20-13),10.8,2019
Washington (26-8),10.6,2019
Penn St (14-18),10.5,2019
Mississippi (20-12),10.5,2019
Arizona St (22-10),10.3,2019
UCF (23-8),10.3,2019
Seton Hall (20-13),10.2,2019
Minnesota (21-13),9.9,2019
Butler (16-16),9.2,2019
Arkansas (17-15),9.0,2019
Alabama (18-15),9.0,2019
Murray St (27-4),8.9,2019
New Mexico St (30-4),8.9,2019
Belmont (26-5),8.8,2019
Miami (14-18),8.8,2019
Xavier (18-15),8.8,2019
St John's (21-12),8.7,2019
Dayton (21-11),8.6,2019
Colorado (21-12),8.5,2019
