team,tr_predictive,season
Gonzaga (26-0),25.9,2021
Baylor (22-2),23.1,2021
Illinois (22-6),21.7,2021
Iowa (21-8),20.9,2021
Michigan (20-4),20.4,2021
Houston (23-3),19.9,2021
Alabama (23-6),18.0,2021
Villanova (16-6),17.9,2021
Ohio St (21-8),17.5,2021
Kansas (20-8),17.1,2021
Texas Tech (17-10),16.9,2021
Creighton (20-8),16.9,2021
Florida St (16-6),16.7,2021
Texas (19-7),16.5,2021
Tennessee (18-8),16.5,2021
Arkansas (22-6),16.2,2021
West Virginia (18-9),16.2,2021
Virginia (18-6),16.2,2021
Colorado (22-8),16.0,2021
Wisconsin (17-12),15.9,2021
USC (22-7),15.9,2021
UConn (15-7),15.2,2021
Purdue (18-9),15.2,2021
North Carolina (18-10),14.9,2021
LSU (18-8),14.6,2021
San Diego St (23-4),14.5,2021
Oklahoma St (20-8),14.3,2021
Duke (13-11),14.1,2021
Oklahoma (15-10),14.1,2021
BYU (20-6),13.9,2021
Loyola Chi (24-4),13.9,2021
Oregon (20-6),13.9,2021
Florida (14-9),13.2,2021
Georgia Tech (17-8),13.1,2021
Rutgers (15-11),13.0,2021
St Bonaventure (15-4),12.7,2021
Maryland (16-13),12.6,2021
UCLA (17-9),12.6,2021
Clemson (16-7),12.5,2021
Indiana (12-15),12.4,2021
Arizona (17-9),12.4,2021
Syracuse (16-9),12.3,2021
Virginia Tech (15-6),12.3,2021
Memphis (16-8),12.1,2021
Utah St (20-8),12.1,2021
Louisville (13-7),12.0,2021
Kentucky (9-16),12.0,2021
Penn St (11-14),11.7,2021
Saint Louis (14-6),11.6,2021
Seton Hall (14-13),11.5,2021
Missouri (16-9),11.4,2021
Mississippi (16-11),11.2,2021
Michigan St (15-12),10.8,2021
VCU (19-6),10.7,2021
Xavier (13-8),10.6,2021
SMU (11-5),10.5,2021
Boise St (18-8),10.3,2021
Minnesota (14-15),10.1,2021
NC State (13-10),9.9,2021
Davidson (13-8),9.9,2021
Georgetown (13-12),9.7,2021
St John's (16-11),9.7,2021
Providence (13-13),9.6,2021
Auburn (13-14),9.4,2021
Richmond (13-8),9.3,2021
Utah (12-13),9.2,2021
Marquette (13-14),9.2,2021
Stanford (14-13),9.1,2021
Northwestern (9-15),8.8,2021
Colgate (13-1),8.8,2021
Colorado St (18-6),8.8,2021
Notre Dame (11-15),8.7,2021
Mississippi St (15-14),8.5,2021
Wright St (18-6),8.5,2021
Drake (25-4),8.4,2021
Pittsburgh (10-12),8.0,2021
Dayton (14-9),7.9,2021
N Texas (17-9),7.9,2021
Oregon St (17-12),7.8,2021
Wichita St (16-5),7.8,2021
Toledo (21-8),7.7,2021
Saint Mary's (14-9),7.4,2021
Buffalo (16-8),7.3,2021
Louisiana Tech (21-7),7.2,2021
Marshall (15-7),7.2,2021
Arizona St (11-14),7.0,2021
Furman (16-9),6.9,2021
W Kentucky (20-7),6.8,2021
UAB (22-7),6.7,2021
UCSB (22-4),6.4,2021
Rhode Island (10-15),6.2,2021
Georgia (14-12),6.0,2021
Abl Christian (23-4),6.0,2021
Butler (10-15),6.0,2021
Nevada (16-10),5.9,2021
Winthrop (23-1),5.8,2021
Vanderbilt (9-16),5.7,2021
Belmont (26-4),5.5,2021
San Francisco (11-14),5.4,2021
Washington St (14-13),5.2,2021
Ohio (16-7),5.2,2021
Cincinnati (12-10),5.1,2021
NC Greensboro (21-8),5.1,2021
UCF (11-12),5.1,2021
Miami (10-17),4.8,2021
E Washington (16-7),4.6,2021
South Carolina (6-15),4.6,2021
S Dakota St (16-7),4.6,2021
Nebraska (7-20),4.6,2021
Liberty (23-5),4.6,2021
UMass (8-7),4.5,2021
Missouri St (17-7),4.5,2021
Grand Canyon (17-6),4.5,2021
Duquesne (9-9),4.4,2021
TCU (12-14),4.3,2021
DePaul (5-14),4.1,2021
Loyola Mymt (13-9),4.1,2021
Tulsa (11-12),4.1,2021
Vermont (10-5),4.1,2021
Akron (15-8),3.8,2021
Pepperdine (12-12),3.8,2021
Texas A&M (8-10),3.7,2021
UC Irvine (18-9),3.7,2021
Kent St (15-8),3.2,2021
California (9-20),3.0,2021
Indiana St (15-10),2.7,2021
Wofford (15-9),2.6,2021
UC Riverside (14-8),2.6,2021
Georgia St (16-6),2.6,2021
Weber St (17-6),2.5,2021
Bowling Green (14-11),2.4,2021
George Mason (13-9),2.3,2021
Boston College (4-16),2.2,2021
Wake Forest (6-16),2.0,2021
Temple (5-11),1.9,2021
Bradley (12-16),1.8,2021
Coastal Car (16-7),1.8,2021
Iowa St (2-22),1.7,2021
Old Dominion (15-8),1.6,2021
Pacific (9-9),1.6,2021
E Tennessee St (12-12),1.5,2021
Kansas St (9-20),1.5,2021
Mercer (18-11),1.5,2021
SF Austin (16-5),1.5,2021
Murray St (13-13),1.5,2021
UNLV (12-15),1.4,2021
Washington (5-21),1.4,2021
S Utah (20-4),1.2,2021
Florida Atlantic (13-10),1.0,2021
UTEP (12-12),1.0,2021
Oral Roberts (16-10),0.9,2021
Drexel (12-7),0.8,2021
